Event Name,Type,Date(s)/Month,Location,Region,Website,Registration Cost (£),Participant Capacity,Description,description,who_its_for,difficulty_honest,atmosphere,tip
IRONMAN Wales,Triathlon,September 13,Tenby,Pembrokeshire,https://www.ironman.com/wales,400-600,2500+,"Full Ironman - challenging sea swim, hilly bike","IRONMAN Wales is a full-distance triathlon renowned for its challenging course and electric atmosphere. Expect a brutal swim, a hilly bike leg through stunning Pembrokeshire, and a marathon with relentless elevation changes, all fueled by passionate Welsh support.","Experienced triathletes seeking a tough and memorable challenge. First-time IRONMAN athletes are welcome, but be prepared for a significant test of endurance and mental fortitude. This isn't a beginner-friendly event, and adequate training is crucial.","Extremely difficult. The swim can be rough due to unpredictable sea conditions. The bike course is relentlessly hilly with over 11,000 feet of elevation gain. The run is also very challenging with constant undulation. This is widely considered one of the toughest IRONMAN courses in the world.","Incredibly supportive and electric. The Welsh crowds are famous for their enthusiastic cheering and encouragement, which will help you push through the tough moments. Expect a party atmosphere in Tenby throughout the weekend, but also a serious commitment from athletes focused on conquering the course.","Book accommodation well in advance as Tenby fills up quickly. Also, practice hill repeats on your bike and run to prepare for the elevation changes."
IRONKIDS Wales,Junior Triathlon,September 12,Tenby,Pembrokeshire,https://www.ironman.com/wales,15-25,500+,Participation-focused kids event,"IRONKIDS Wales is a junior triathlon giving kids aged 3-14 the chance to experience the thrill of triathlon in a safe, supportive environment. It's all about participation and fun, with a focus on finishing rather than racing to win, letting kids feel like true IRONMAN athletes.",Kids aged 3-14 of all athletic abilities. No prior triathlon experience is necessary. Families are welcome to cheer on their kids and enjoy the event atmosphere.,"The distances are age-appropriate and designed to be achievable for most kids. Some minimal training is recommended, like getting comfortable swimming a short distance and riding a bike. It's more about completing the event than setting records.","Energetic and fun! Expect cheering crowds, music, and a real sense of accomplishment as kids cross the finish line. It's a very supportive environment with lots of encouragement from volunteers and spectators.","Arrive early to allow plenty of time for parking, registration, and familiarizing yourself with the transition area. Knowing where to rack your bike and find your gear will help reduce stress on race day."
Trails & Tarmac Winter Backyard Ultra,Ultra Running,February 14,Black Mountains,Brecon Beacons,https://www.limitlesstrails.co.uk,60-90,200+,4.2 mile laps every hour until one remains,"The Trails & Tarmac Winter Backyard Ultra is a last-person-standing running event set against the stark beauty of the Black Mountains. Participants run a 4.167-mile loop every hour, on the hour, until only one runner remains. Expect mud, hills, darkness, and a serious test of mental fortitude in a minimalist, winter setting.","Experienced runners with ultra ambitions, but also those curious about testing their limits in a supportive (initially!) environment. Newcomers to ultra running are welcome if they understand the format, but be prepared for a potentially humbling experience. Not suitable for families with young children due to the nature and duration of the event.","Extremely challenging. While each loop is manageable, the accumulated fatigue and sleep deprivation make this a brutal test of endurance. Winter conditions in the Black Mountains add another layer of difficulty. Prepare for icy patches, mud, and potential route changes depending on the weather. Completing even 24 hours is a significant achievement.","Initially supportive and encouraging, with runners sharing stories and strategies. As the hours tick by, the atmosphere becomes more focused and introspective. While camaraderie remains, the primary focus shifts to individual survival. Expect a mix of quiet determination and the occasional burst of nervous energy.",Practice running through the night and experiment with sleep strategies beforehand. Managing sleep deprivation is as important as physical fitness in a backyard ultra.
Trail Marathon Wales,Trail Running,June (TBC),Coed y Brenin,Snowdonia,https://www.trailmarathonwales.co.uk,50-80,1000+,Mountain marathon in forest park,"Trail Marathon Wales isn't just a marathon; it's a proper mountain running experience through the stunning, but relentlessly hilly, Coed y Brenin forest. Expect technical trails, lung-busting climbs, and breathtaking views that might just make you forget how much your legs hurt. It's a tough but rewarding challenge, likely to be wet underfoot, set in a truly beautiful part of the world.","Experienced trail runners with a decent level of fitness. While there are shorter distance options, the marathon itself isn't for beginners. Hikers used to long days on tough terrain will cope better than road marathoners unprepared for the technical aspects.","This is a HARD marathon. The elevation gain is significant, the trails are technical with rocks, roots, and potential mud, and the weather in Wales can be unpredictable. Even experienced marathoners should adjust their pace expectations and be prepared to hike sections. Consider the half marathon if you're newer to trail running or unsure about the full distance.","More serious than a party, but incredibly supportive. Expect camaraderie amongst runners battling the course together. The focus is on personal achievement and conquering the challenge, with a post-race atmosphere of shared accomplishment and plenty of hearty Welsh food.","Pack for all weather conditions, even in summer. Waterproof jacket, trail shoes with good grip, and gaiters are highly recommended. The midges can be fierce, so bring repellent!"
Dragons Back Race,Ultra Running,September (TBC),Conwy to Cardiff,Wales (full length),https://www.dragonsbackrace.com,800-1200,200+,"6-day mountain race, 315km","The Dragons Back Race is a legendary five-day, point-to-point ultra running challenge that traverses the mountainous spine of Wales, from Conwy Castle in the north to Cardiff Castle in the south. It's a brutal test of endurance, navigation, and self-sufficiency amidst some of the UK's most stunning and unforgiving terrain. Expect long days, minimal sleep, and serious bragging rights if you finish.","Experienced ultra runners only. This is not a beginner-friendly event. You need extensive experience in mountain running, navigation, and self-sufficiency in challenging terrain. Prior multi-day race experience is highly recommended.","Extremely difficult. This is one of the toughest mountain races in the world. Each day involves significant elevation gain and loss over technical terrain, often in unpredictable weather conditions. Expect long hours on your feet, potential for sleep deprivation, and a high attrition rate.","Serious and demanding. While camaraderie exists amongst participants, the focus is primarily on survival and completing the course. Expect a supportive but competitive atmosphere, where self-reliance and mental fortitude are crucial.","Navigation skills are paramount. The course is not fully marked, and you will be relying on your own map and compass skills for significant portions of the race. Practice navigating in similar terrain before the event."
Berghaus Dragon's Back Race,Ultra Running,September (TBC),Conwy to Cardiff,Wales,https://www.berghaus.com,800-1200,200+,World's toughest mountain race,"The Berghaus Dragon's Back Race is a legendary 5-day ultramarathon traversing the mountainous spine of Wales, from north to south. It's a brutal test of navigation, endurance, and self-sufficiency, renowned for its unforgiving terrain and stunning scenery. Expect long days, challenging climbs, and a profound sense of accomplishment (if you finish!).","Experienced ultramarathon runners with significant mountain running and navigation skills. This is NOT a beginner-friendly event. Prior experience in multi-day events and self-supported running is highly recommended. Successful completion requires a high level of fitness, mental fortitude, and technical competence.","Extremely difficult. This is one of the toughest mountain ultramarathons in the world. Each day involves significant elevation gain (think thousands of meters), technical terrain (rocky ridges, boggy ground), and demanding navigation. Expect long days on your feet, potential sleep deprivation, and a high attrition rate. Prepare for all types of weather, from scorching sun to torrential rain and strong winds. Cut-off times are strict and unforgiving.","Serious and focused. While camaraderie exists amongst participants, the primary atmosphere is one of intense personal challenge and determination. Support is minimal, and runners are largely responsible for their own safety and well-being. Don't expect a party; expect survival.","Prioritize navigation skills above all else. Physical fitness is crucial, but the ability to navigate accurately and efficiently across complex terrain is essential for success. Invest in advanced navigation training and practice extensively in similar environments before race day."
Tour of Britain (Wales Stages),Cycling Race,September (TBC),Various,Wales,https://www.tourofbritain.co.uk,Free to watch,Unlimited,Professional cycling race,"Experience the thrill of professional cycling on the challenging Welsh stages of the Tour of Britain. Ride iconic climbs and breathtaking coastal routes in a mass participation event alongside the pros, soaking in the vibrant atmosphere of this world-class race.","Experienced cyclists with a good level of fitness looking for a demanding but rewarding challenge. While not exclusively for elites, a solid training base and familiarity with riding in a group are essential.","Very Hard. These are the same roads tackled by professional cyclists. Expect significant elevation gain, potentially challenging weather conditions (wind and rain are common), and long days in the saddle. This is not a beginner-friendly ride; proper training and preparation are crucial.","A mix of serious cycling and enthusiastic support. While not a party atmosphere, the roadside support is incredible, and riders share a common bond in tackling such a tough challenge. Expect a focused but friendly vibe amongst participants.",Pay close attention to the route profile and focus your training on climbing. Familiarize yourself with gear ratios suitable for steep gradients to conserve energy on the unrelenting Welsh hills.
Dragon Ride,Sportive,June (TBC),Port Talbot,South Wales,https://www.thedragonride.co.uk,50-80,3000+,Largest sportive in Wales,"The Dragon Ride is a classic UK cycling sportive, renowned for its challenging climbs through the stunning Brecon Beacons National Park. Expect a tough but rewarding day on the bike, fueled by incredible scenery and a supportive community of fellow riders. This is a bucket-list event for anyone serious about road cycling.","Experienced cyclists with a good level of fitness are best suited to the longer routes. There are shorter route options available for those newer to sportives or looking for a less demanding day, but even those will require some training.","Brutal. Let's be clear, this isn't a Sunday cruise. The climbs are long, steep, and relentless. The Dragon Devil route is particularly savage, with significant elevation gain. Even the shorter routes will test your legs and lungs.","Serious but friendly. There's a competitive edge for those chasing personal bests, but overall the atmosphere is one of camaraderie and mutual respect. Expect lots of encouragement on the climbs and a celebratory vibe at the finish line.","Train specifically for climbing. Living in a flat area? Find hills, use a turbo trainer, or travel to hilly regions for training rides. Your legs will thank you."
Etape Eryri,Sportive,July (TBC),Snowdonia,North Wales,https://www.etapeeryri.co.uk,50-80,1500+,Challenging Snowdonia sportive,"Etape Eryri is a challenging but stunningly beautiful road cycling sportive set against the backdrop of Snowdonia National Park. It's a chance to test your legs on some serious climbs while soaking in incredible Welsh scenery. Expect a well-supported ride with a friendly, community feel.","Experienced cyclists comfortable with long distances and significant elevation gain will enjoy this event the most. While not a race, it's not ideal for complete beginners unless you're prepared for a very long day in the saddle. Those who've completed other sportives with similar elevation profiles should find it manageable.","This is a tough sportive. Snowdonia isn't flat! Expect multiple significant climbs, some with steep gradients. Proper training is essential, and you'll want to be comfortable riding for several hours. Don't underestimate the cumulative effect of the hills.","The atmosphere is generally supportive and encouraging. While some riders will be pushing for personal bests, most are there to enjoy the ride and the scenery. There's a strong sense of camaraderie amongst participants, and the feed stations are known for their friendly volunteers.","Bring appropriate clothing for all weather conditions. Snowdonia weather can change rapidly, even in summer. Pack layers, a waterproof jacket, and consider arm warmers and leg warmers."
Rhosneigr Wave Classic,Windsurfing,September 12-14 (TBC),Rhosneigr,Anglesey,https://www.britishwavesailing.com,Free to watch,100+,"UK's premier wavesailing event, BWA Tour","The Rhosneigr Wave Classic is a legendary UK windsurfing competition held on the exposed coastline of Anglesey. It's a blend of amateur and professional wave sailing, attracting seasoned competitors and enthusiastic locals alike for a weekend of high-flying action and beachside camaraderie. Expect challenging conditions and a vibrant social scene.","Experienced windsurfers comfortable in wave conditions are best suited for this event. While there are different fleets to cater to skill levels, it's not for complete beginners. You'll need to be able to confidently sail out, tack, jibe, and handle strong winds and swell.","This event is HARD. Rhosneigr is known for its strong winds and powerful waves, which can be brutal. You'll be battling the elements, so expect to be physically and mentally tested. Intermediate sailors should be prepared to spend time swimming and potentially repairing gear.","The atmosphere is a mix of friendly competition and relaxed beach vibes. During the day, the focus is on the water with competitors pushing their limits. Evenings are for sharing stories, enjoying live music, and celebrating (or commiserating) the day's action. It's a proper windsurfing community event.","Check the forecast obsessively in the days leading up to the event and pack for all conditions. Rhosneigr can be unpredictable, so bring a range of sails, wetsuits, and warm layers. And don't forget a good repair kit!"
Abersoch Dinghy Week,Sailing,August (TBC),Abersoch,Llŷn Peninsula,https://www.abersoch.co.uk,Varies,200+,Major sailing regatta,"Abersoch Dinghy Week is a week-long sailing regatta held annually in Abersoch, North Wales, offering racing for a wide variety of dinghy classes. Expect a mix of serious racing and social events, with a friendly atmosphere both on and off the water. It's a chance to test your skills against other sailors and enjoy the beautiful coastal scenery.","Everyone from seasoned racers to families and less experienced sailors are welcome. Different fleets cater to different skill levels and boat types, so check the class options to find one that suits you.","The difficulty depends on the weather conditions, which can be unpredictable. Expect everything from light breezes to strong winds and choppy seas. Some races will be technically challenging, others more about boat speed and strategy. Fitness-wise, it's not excessively strenuous but requires stamina to sail for several hours each day.","The atmosphere is generally friendly and welcoming, striking a balance between competitive racing and a relaxed social scene. There are usually evening events, including parties and barbecues, creating a great opportunity to meet other sailors. On the water, expect focused racing but with a spirit of camaraderie.","Book accommodation well in advance as Abersoch gets very busy during Dinghy Week. Also, familiarize yourself with the local tidal conditions as they can significantly impact race strategy."
Cardiff Bay Water Festival,Watersports,July (TBC),Cardiff Bay,South Wales,https://www.cardiffharbour.com,Free,Unlimited,"Kayaking, paddleboarding, sailing demos","The Cardiff Bay Water Festival is a multi-sport event centered around the iconic Cardiff Bay. It features open water swimming, stand-up paddleboarding (SUP) races, and kayaking challenges, creating a lively atmosphere for both participants and spectators. Expect a fun, community-focused day out with activities for all skill levels.","Open to all skill levels, from first-time paddlers to experienced open water swimmers. Families are welcome to participate in shorter courses and enjoy the festival atmosphere. Separate categories exist for competitive racers.","The swimming courses range from beginner-friendly (750m) to challenging (2.5km), so choose wisely. SUP and kayak courses are generally manageable for anyone with basic experience, but the Bay can be choppy, adding an extra layer of difficulty depending on the weather. Expect some arm fatigue!","A blend of friendly competition and relaxed fun. While some participants are serious about racing, the overall vibe is supportive and encouraging. Expect music, food stalls, and a celebratory atmosphere throughout the day.","Cardiff Bay can get windy, so check the forecast and be prepared for potentially choppy water conditions. Bring a wetsuit for the swim, even if you're a seasoned swimmer, as the water can be cold!"
Red Bull Hardline,MTB Downhill,September (TBC),Dyfi Forest,Mid Wales,https://www.redbull.com,Free to watch,Unlimited,World's toughest downhill MTB race,"Red Bull Hardline isn't just a downhill race; it's a savage test of skill and nerve on a course designed to break bikes and bodies. This is mountain biking at its absolute limit, pushing riders beyond what seems possible in the unforgiving Welsh landscape. Spectating is a visceral experience, witnessing riders teetering on the edge of control.",This event is *not* for beginners. It's exclusively for elite-level downhill mountain bikers with years of experience tackling the most challenging terrain in the world. Think World Cup racers and freeride legends.,"Brutally difficult. This is widely considered the hardest downhill course *ever* conceived. Expect near-vertical rock rolls, massive jumps, technical singletrack sections littered with roots and rocks, and constantly changing weather conditions. Crashes are common, and even finishing is an achievement.","The atmosphere is intense, a blend of nervous anticipation and raw excitement. While there's camaraderie amongst the riders, the primary focus is on survival and conquering the course. Expect a hardcore, no-nonsense vibe, focused on pushing limits.","If you're planning to spectate, wear appropriate footwear for hiking in muddy conditions, be prepared for unpredictable weather, and choose your viewing spot wisely. Some areas are only accessible via steep, challenging trails."
Welsh Gravity Enduro Series,MTB Enduro,March-October,Various,Wales,https://www.welshgravityenduro.co.uk,40-70,500+,Enduro race series across Wales,"The Welsh Gravity Enduro Series is a multi-stage mountain bike race held across various locations in Wales, known for its challenging terrain and vibrant MTB community. Riders navigate timed downhill stages, linked by untimed transition climbs, testing both their technical skills and physical endurance. Expect stunning scenery and a proper taste of Welsh riding!","While experienced riders will definitely be competitive, the series welcomes riders of intermediate skill levels comfortable on technical trails. There are often different categories based on age and experience, making it accessible to a range of abilities. Not ideal for complete beginners without some existing MTB experience.","This is a physically demanding event. Stages are steep, technical, and can be quite long. Transition climbs between stages are no joke either! Expect a full day in the saddle with plenty of climbing and descending. Fitness is key, and familiarity with technical trail features like drops, jumps, and rock gardens is essential.","The atmosphere is generally friendly and supportive, with a good balance between competition and camaraderie. Riders often help each other out on the course, and there's a strong sense of community. Expect post-race beers and stories shared at the event village.","Check the specific event location and stage maps beforehand. Knowing the terrain and key features will give you a significant advantage, especially on blind courses. Dial in your tire pressure for the conditions and bring spares!"
Coed y Brenin Enduro,MTB Enduro,October (TBC),Coed y Brenin,Snowdonia,https://www.beicsbrenin.co.uk,40-60,400+,Popular enduro event,"The Coed y Brenin Enduro is a proper mountain bike enduro race held in the renowned trail centre. Expect a mix of fast, flowing trails and technical, rocky sections that will test your bike handling skills. It's a classic UK enduro experience.","Intermediate to advanced mountain bikers. While some stages are manageable for confident beginners, others demand solid technical skills. This isn't a family ride; it's designed for experienced riders comfortable on challenging terrain.","This is a physically and technically demanding race. Stages are long, and the transitions can be tough, especially if the weather turns. Expect steep climbs, tight switchbacks, and plenty of rocks and roots. Fitness is important, but bike handling is crucial for a good time and avoiding mechanicals.","A friendly but competitive atmosphere. Riders are generally supportive of each other, but everyone is there to push their limits. Expect a buzz at the event village, but out on the trails, it's focused riding.","Tyre choice is critical! Opt for robust tyres with good grip and sidewall protection. Coed y Brenin is known for its sharp rocks, and punctures are common."
Adventure Travel World Summit,Industry Conference,October (TBC),Llandudno (2025),North Wales,https://www.adventuretravel.biz,500-1000,800+,Global adventure tourism conference,"The Adventure Travel World Summit is the premier annual gathering for professionals in the adventure tourism industry. Expect a week packed with keynotes, workshops, networking events, and a trade show, all focused on the latest trends, challenges, and opportunities in adventure travel.","Adventure travel operators, tourism boards, travel agents specializing in adventure, gear manufacturers, journalists, and anyone working to promote or develop the adventure tourism industry. Not for general consumers.","This isn't physically challenging. The challenge lies in absorbing a lot of information, navigating networking opportunities effectively, and potentially pitching your business or product to key industry players. Expect long days and evenings.","Professional and collaborative, but also vibrant and social. The Summit fosters a strong sense of community among adventure travel professionals. Expect serious business discussions balanced with fun social events and opportunities to explore the host destination.","Come prepared with clear goals and a concise 'elevator pitch' for your business or product. The networking is invaluable, so make the most of it."
Green Man Festival,Music/Outdoor,August (TBC),Brecon Beacons,Brecon Beacons,https://www.greenman.net,200-300,25000+,Music festival in mountain setting,"Green Man isn't just a music festival; it's a temporary escape into a world of art, science, and Welsh folklore nestled in the stunning Brecon Beacons. Expect days filled with incredible music across multiple stages, late-night film screenings, inspiring science talks, and hidden nooks and crannies to explore. At the heart of it all is the burning of the Green Man effigy, a symbolic ritual marking the end of the festival.","Anyone who appreciates diverse music (indie, folk, electronic, experimental), loves the outdoors, and enjoys a family-friendly atmosphere. There are dedicated areas for children and families, but it's also popular with students and young adults.","The 'challenge' is more about navigating the large site and pacing yourself for four days of activities and potential weather changes than physical exertion. Camping is involved, so be prepared for uneven terrain and potential mud. Walking between stages can involve some uphill climbs, but overall, it's accessible to most fitness levels.","Relaxed, creative, and community-oriented. It's less about wild partying and more about soaking up the atmosphere and discovering something new. Expect a friendly, inclusive vibe with plenty of opportunities for conversation and connection.","Bring good waterproofs and wellies – the Welsh weather is unpredictable, and you'll be doing a lot of walking across fields."
Wakestock,Music/Watersports,July (TBC),Abersoch/Pwllheli,Llŷn Peninsula,https://www.wakestock.co.uk,100-200,15000+,Wakeboarding and music festival,"Wakestock is a unique fusion of wakeboarding competition and live music festival. Expect high-flying aerial tricks on the water during the day, transitioning into electrifying performances from renowned DJs and bands each night. It's a weekend-long party with a distinctly Welsh coastal vibe.","Wakeboarding competitors range from amateur to pro, with dedicated categories. Music fans of all ages are welcome, though the late-night sets cater to an 18-35 crowd. Families might enjoy the daytime events but should be aware of the festival atmosphere later on.","The wakeboarding competition requires existing skill. If you're a beginner, focus on watching and enjoying the spectacle. The 'challenge' for most attendees is managing the pace of a multi-day festival with potentially late nights and early starts.","Party atmosphere amplified. The days are exciting with the wakeboarding, but the evenings and nights are all about the music, dancing, and socializing. Expect a lively and energetic crowd.","Book accommodations well in advance, as Abersoch and Pwllheli fill up quickly during Wakestock. Also, pack for all types of weather – it is Wales, after all!"
Snowdonia Walking Festival,Walking,October (TBC),Betws-y-Coed,Snowdonia,https://www.snowdonia.gov.wales,Free-20,500+,"Guided walks, all abilities","Explore the stunning trails of Snowdonia National Park on foot! This festival offers a range of guided walks, from gentle valley strolls to challenging ascents of Snowdon itself, all led by experienced local guides. It's a chance to discover hidden gems, learn about the area's history and ecology, and connect with fellow walkers in a friendly and supportive environment.","Walkers of all abilities are welcome, from complete beginners to experienced hikers. There are walks specifically designed for families with young children, as well as more challenging options for those seeking a physical test.","Walks range from easy (suitable for anyone with reasonable fitness) to strenuous (requiring a good level of fitness and experience of hill walking). Be honest with yourself about your capabilities when choosing a walk; Snowdonia can be unforgiving, even in good weather. Check the elevation gain and distance carefully before booking.","The atmosphere is social and relaxed, with an emphasis on enjoyment and appreciation of the natural surroundings. While some may be keen to push their personal limits, the focus is on camaraderie and shared experiences, not competition. Expect friendly banter and plenty of opportunities to chat with fellow walkers.","Snowdonia weather is notoriously unpredictable. Pack for all eventualities, even if the forecast looks promising. Waterproofs, sturdy walking boots, and layers are essential."
Pembrokeshire Coast Path Festival,Walking,May (TBC),Various,Pembrokeshire,https://www.pembrokeshirecoast.org.uk,Free-25,1000+,Celebrates coast path,"A week-long celebration of walking the stunning Pembrokeshire Coast Path. Choose from guided walks, navigation workshops, and talks on local history and wildlife. It's a chance to explore the diverse landscapes, connect with fellow walkers, and enjoy the beauty of the Welsh coastline.","All levels of walkers are welcome, from complete beginners to seasoned hikers. Families with older children (10+) who are used to walking can find suitable options. There are walks geared towards specific interests such as birdwatching or photography.","The difficulty varies significantly depending on the specific walk you choose. Options range from easy, mostly flat coastal strolls of a few miles to challenging hikes with steep climbs and uneven terrain covering 10+ miles. Be sure to carefully review the description of each walk before registering.",The atmosphere is relaxed and friendly. It's less about racing and more about enjoying the outdoors and learning about the area. Expect a social and supportive environment with opportunities to meet new people.,"Book accommodation well in advance, as Pembrokeshire is a popular destination, especially during peak season. Consider staying in multiple locations to reduce travel time to different walk starting points."
Wales Coast Path Festival,Walking,June (TBC),Various,Wales,https://www.walescoastpath.gov.uk,Free-30,2000+,Events along entire coast path,"The Wales Coast Path Festival is a multi-day celebration of walking the stunning Welsh coastline. It's not a race, but rather a series of guided and self-guided walks of varying lengths and difficulties, designed to showcase the natural beauty and local culture of Wales. Expect breathtaking views, charming villages, and a chance to connect with fellow walkers.","Anyone who enjoys walking! There are options suitable for families with children, casual walkers, and those looking for a more strenuous hike. No specialist equipment is needed beyond good walking shoes and appropriate clothing.","The difficulty varies greatly depending on the chosen walk. Some are short, flat strolls suitable for beginners and families. Others involve significant elevation gain, uneven terrain, and longer distances, requiring a reasonable level of fitness. Pay close attention to the details of each individual walk before signing up.","The atmosphere is relaxed and friendly. It's more about enjoying the scenery and company than pushing yourself to the limit. Expect a supportive and encouraging environment, with opportunities to learn about the local history, flora, and fauna.","Book your accommodation well in advance, especially if traveling during peak season. The Wales Coast Path passes through many small villages with limited lodging options."
World Bog Snorkelling Championships,Novelty,August (TBC),Llanwrtyd Wells,Mid Wales,https://www.green-events.co.uk,20-40,200+,Unique bog snorkelling race,"Plunge into a murky peat bog and snorkel two lengths of a water-filled trench cut through it. It's less about speed and more about embracing the absurdity and the sheer griminess of it all, all while raising money for charity.","Anyone with a snorkel, flippers, and a sense of humor! No athletic prowess required, though a tolerance for cold, dirty water is a must. Families and groups of friends often compete together.","Low impact but surprisingly strenuous. The cold water and restricted breathing make it harder than it looks. The trench is relatively short, but expect to swallow some bog water and struggle with visibility.","Party atmosphere! It's a celebration of silliness and a uniquely Welsh experience. Expect costumes, cheering crowds, and a general feeling of lighthearted madness.","Practice using your snorkel and mask beforehand, especially if you're not a regular swimmer. Keeping water out of your face can make a big difference to your enjoyment!"
Man vs Horse Marathon,Running/Cycling,June (TBC),Llanwrtyd Wells,Mid Wales,https://www.green-events.co.uk,30-50,500+,Runners vs horses over 22 miles,"The Man vs Horse Marathon is a quirky and legendary race in Wales where runners compete against riders on horseback over a challenging cross-country course. It's a celebration of human endurance and horsemanship with a healthy dose of Welsh eccentricity. Be prepared for mud, sweat, and maybe even a win for Team Human (it's happened a few times!).","Experienced trail runners and cyclists with a good level of fitness and a sense of adventure. While beginners are welcome, the challenging terrain and distance make it unsuitable for complete novices. Horse riders must have experience riding in similar terrain.","This is a tough event, no question. The course is primarily off-road, with significant elevation gain, river crossings, and unpredictable terrain. Expect mud, steep climbs, and potentially challenging weather conditions. Proper trail running shoes are essential.","The atmosphere is more fun and supportive than fiercely competitive. There's a real camaraderie among participants, both human and equine. Expect a lively post-race celebration with plenty of local beer and traditional Welsh music.","Bring gaiters! Seriously, the mud is legendary. Also, practice running or cycling in similar off-road conditions before the event to avoid unpleasant surprises."
Welsh One Day Hill Climb,Cycling,October (TBC),Various,Wales,https://www.cycling.wales,25-40,200+,Uphill cycling time trial,"The Welsh One Day Hill Climb isn't just one climb; it's a series of lung-busting ascents scattered across the Welsh countryside, tackled in a single day. Expect steep gradients, unpredictable weather, and a true test of your climbing legs, all wrapped in the stunning scenery of Wales. It's a proper old-school cycling challenge.","Experienced cyclists with strong climbing ability and a good level of fitness. While not strictly 'elite', you'll want to be comfortable tackling sustained climbs at challenging gradients. Not recommended for beginners or casual cyclists unless you're specifically looking for a serious wake-up call.","Very Hard. This isn't a sportive; it's a hardcore hill climb event. Expect significant elevation gain over the course of the day, with individual climbs that will push you to your absolute limit. Proper training is essential, and be prepared to suffer!","Serious but supportive. While there's a competitive element for those chasing times, the overall vibe is one of camaraderie and mutual respect for the challenge. Expect encouragement from fellow riders and marshals, but don't expect a party atmosphere.","Pack for all types of weather. Wales is notorious for its unpredictable conditions, so be prepared for rain, wind, and sunshine, potentially all in the same day. Layers are your friend!"
