name,location,region,type,provider,url,lat,lon,description
Snowdon Summit Webcam,Snowdon,snowdonia,webcam,Eryri National Park,https://www.snowdonia.gov.wales/visit/plan-your-visit/webcams,53.0685,-4.0763,"Highest webcam in Wales, located at the summit visitor centre."
Llandudno Pier,Llandudno,north-wales,webcam,CamSecure,https://www.camsecure.co.uk/llandudno_webcam.html,53.3241,-3.8276,"Live view of the pier and promenade."
Rhyl Beach,Rhyl,north-wales,webcam,Denbighshire Council,https://www.denbighshire.gov.uk/en/leisure-and-tourism/webcams/rhyl-harbour.aspx,53.3218,-3.4936,"View of Rhyl harbour and beach."
Glaslyn Osprey Cam,Porthmadog,snowdonia,webcam,Bywyd Gwyllt Glaslyn,https://www.glaslynwildlife.co.uk/live-stream/,52.9500,-4.1000,"Live nest cam of Ospreys in the Glaslyn Valley."
Abersoch Yacht Club,Abersoch,llyn-peninsula,webcam,SCYC,https://scyc.co.uk/webcam/,52.8234,-4.4989,"Overlooking the harbour and bay."
Plas y Brenin,Capel Curig,snowdonia,webcam,Plas y Brenin,https://pyb.co.uk/webcam/,53.1006,-3.9073,"View of Llynnau Mymbyr towards Snowdon."
Ogwen Valley,Ogwen,snowdonia,webcam,Ogwen Valley Mountain Rescue,https://ogwen-rescue.org.uk/weather-webcams/,53.1235,-4.0185,"Conditions in the Ogwen Valley."
Surf Snowdonia,Dolgarrog,snowdonia,webcam,Adventure Parc Snowdonia,https://adventureparcsnowdonia.com/,53.1901,-3.8344,"Live view of the inland surf lagoon."
Rhosneigr Beach,Rhosneigr,anglesey,webcam,Funsport,https://www.funsport.co.uk/webcam,53.2234,-4.5123,"Popular windsurfing and kitesurfing beach."
Trearddur Bay,Trearddur Bay,anglesey,webcam,Trearddur Bay Hotel,https://www.trearddurbayhotel.co.uk/webcam/,53.2785,-4.6225,"Overlooking the bay and beach."
Menai Suspension Bridge,Menai Bridge,anglesey,webcam,Anglesey Council,https://www.anglesey.gov.uk/en/Residents/Roads-parking-and-travel/Webcams.aspx,53.2205,-4.1643,"View of the historic suspension bridge."
Aberystwyth Promenade,Aberystwyth,mid-wales,webcam,Aberystwyth University,https://www.aber.ac.uk/en/webcams/,52.4153,-4.0829,"View of the seafront and pier."
New Quay Harbour,New Quay,mid-wales,webcam,Cardigan Bay Marine Wildlife Centre,https://www.welshwildlife.org/visitor-centres/cardigan-bay-marine-wildlife-centre,52.2154,-4.3582,"Dolphin spotting camera overlooking the harbour."
Borth Beach,Borth,mid-wales,webcam,Borth & Ynyslas Golf Club,https://www.borthgolf.co.uk/weather/,52.4897,-4.0537,"View of the beach and golf course."
Cardigan Bay,Gwbert,mid-wales,webcam,Cliff Hotel,https://www.cliffhotel.com/webcam,52.1158,-4.6853,"Panoramic view of Cardigan Bay."
Fishguard Harbour,Fishguard,pembrokeshire,webcam,Stena Line,https://www.stenaline.co.uk/ferry-to-ireland/fishguard-rosslare,52.0094,-4.9859,"Ferry terminal and harbour view."
St Davids Cathedral,St Davids,pembrokeshire,webcam,St Davids Cathedral,https://www.stdavidscathedral.org.uk/,51.8817,-5.2683,"View of the historic cathedral."
Whitesands Bay Surf,Whitesands,pembrokeshire,surf-forecast,Surfline,https://www.surfline.com/surf-report/whitesands-bay/5842041f4e65fad6a7708d0f,51.8934,-5.2967,"Popular surf spot near St Davids."
Newgale Surf,Newgale,pembrokeshire,surf-forecast,Surfline,https://www.surfline.com/surf-report/newgale/5842041f4e65fad6a7708d10,51.8567,-5.1234,"Long sandy beach popular with beginners."
Broad Haven Beach,Broad Haven,pembrokeshire,webcam,Broad Haven YHA,https://www.yha.org.uk/hostel/yha-broad-haven,51.7812,-5.1089,"View of the beach from the youth hostel."
Tenby Harbour,Tenby,pembrokeshire,webcam,Pembrokeshire County Council,https://www.pembrokeshire.gov.uk/tenby-harbour-webcam,51.6713,-4.6987,"Picturesque harbour view."
Tenby South Beach,Tenby,pembrokeshire,webcam,Tenby South Beach,https://www.camsecure.co.uk/tenby_webcam.html,51.6664,-4.7067,"View of the expansive South Beach."
Saundersfoot Harbour,Saundersfoot,pembrokeshire,webcam,Saundersfoot Harbour,https://www.saundersfootharbour.co.uk/webcam/,51.7118,-4.6981,"Busy harbour and beach."
Manorbier Surf,Manorbier,pembrokeshire,surf-forecast,Surfline,https://www.surfline.com/surf-report/manorbier/5842041f4e65fad6a7708d11,51.6423,-4.7989,"Reef and beach break below the castle."
Freshwater West Surf,Freshwater West,pembrokeshire,surf-forecast,Surfline,https://www.surfline.com/surf-report/freshwater-west/5842041f4e65fad6a7708d12,51.6456,-5.0567,"Wales' most consistent surf beach."
Llangennith Surf,Llangennith,gower,surf-forecast,Surfline,https://www.surfline.com/surf-report/llangennith/5842041f4e65fad6a7708d0e,51.5845,-4.2934,"Iconic Gower beach break."
Rhossili Bay,Rhossili,gower,webcam,Worms Head Hotel,https://www.wormshead.co.uk/webcam/,51.5667,-4.2889,"Spectacular view towards Worms Head."
Langland Bay Surf,Langland Bay,gower,surf-forecast,Surfline,https://www.surfline.com/surf-report/langland-bay/5842041f4e65fad6a7708d0d,51.5678,-3.9889,"Popular reef and beach break."
Caswell Bay Surf,Caswell Bay,gower,surf-forecast,Surfline,https://www.surfline.com/surf-report/caswell-bay/5842041f4e65fad6a7708d17,51.5712,-3.9778,"Sheltered bay good for beginners."
Mumbles,Mumbles,gower,webcam,Mumbles Pier,https://www.mumbles-pier.co.uk/webcam,51.5685,-3.9760,"View of the pier and lighthouse."
Porthcawl Rest Bay,Porthcawl,south-wales,surf-forecast,Surfline,https://www.surfline.com/surf-report/rest-bay/5842041f4e65fad6a7708d15,51.4883,-3.7142,"Consistent surf beach near Cardiff."
Porthcawl Pier,Porthcawl,south-wales,webcam,Porthcawl RNLI,https://porthcawl-lifeboat.co.uk/webcam/,51.4740,-3.6980,"View of the pier and breakwater."
Barry Island,Barry,south-wales,webcam,Vale of Glamorgan Council,https://www.valeofglamorgan.gov.uk/en/enjoying/Coast-and-Countryside/Barry-Island-Webcams.aspx,51.3916,-3.2721,"Famous seaside resort beach."
Penarth Pier,Penarth,south-wales,webcam,Penarth Pier Pavilion,https://penarthpavilion.co.uk/,51.4348,-3.1633,"Historic pier near Cardiff."
Cardiff Bay,Cardiff,south-wales,webcam,Cardiff Harbour Authority,https://www.cardiffharbour.com/webcams/,51.4646,-3.1614,"Barrage and bay views."
Storey Arms,Brecon Beacons,brecon-beacons,webcam,Traffic Wales,https://traffic.wales/,51.8812,-3.4578,"A470 road cam near Pen y Fan (check snow conditions)."
Pen y Fan Weather,Pen y Fan,brecon-beacons,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcjqmsw80,51.8840,-3.4360,"Conditions for the highest peak in South Wales."
Capel Curig Weather,Capel Curig,snowdonia,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmr8111z,53.1060,-3.9050,"Central Snowdonia weather station."
Valley Weather,Valley,anglesey,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmk6075z,53.2500,-4.5350,"RAF Valley weather station."
Mumbles Head Weather,Mumbles,gower,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcjwp2c30,51.5660,-3.9800,"Coastal weather data for Gower."
Aberporth Weather,Aberporth,mid-wales,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcm05p4k0,52.1390,-4.5700,"Cardigan Bay weather station."
Milford Haven Weather,Milford Haven,pembrokeshire,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcm0b2y10,51.7130,-5.0380,"Pembrokeshire coast weather."
Lake Vyrnwy Weather,Lake Vyrnwy,mid-wales,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcqk4z840,52.7600,-3.4600,"Inland weather station."
Sennybridge Weather,Sennybridge,brecon-beacons,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcjq5y920,51.9480,-3.5750,"Military range weather station."
Bala Lake Webcam,Bala,snowdonia,webcam,Bala Sailing Club,https://balasc.co.uk/webcam/,52.8876,-3.6277,"View over Llyn Tegid."
Hell's Mouth Surf,Porth Neigwl,llyn-peninsula,surf-forecast,Surfline,https://www.surfline.com/surf-report/hells-mouth/5842041f4e65fad6a7708d13,52.8123,-4.5234,"Exposed beach break on the Llyn."
Porth Oer Surf,Whistling Sands,llyn-peninsula,surf-forecast,Surfline,https://www.surfline.com/surf-report/whistling-sands/584204204e65fad6a7708d7c,52.8456,-4.7123,"Scenic cove surf spot."
Aberdyfi Webcam,Aberdyfi,mid-wales,webcam,Aberdyfi Tourism,https://www.aberdyfi.com/webcams/,52.5447,-4.0566,"Estuary and beach views."
Barmouth Harbour,Barmouth,mid-wales,webcam,Barmouth Harbour,https://www.barmouth-harbour.co.uk/webcam,52.7214,-4.0583,"Harbour and bridge view."
Cader Idris Weather,Cader Idris,snowdonia,weather-station,Mountain Weather Information Service,https://www.mwis.org.uk/forecasts/english-and-welsh/snowdonia,52.7019,-3.9067,"Mountain forecast for Southern Snowdonia."
Portmeirion,Portmeirion,snowdonia,webcam,Portmeirion Village,https://portmeirion.wales/about/webcams,52.9133,-4.0967,"Views of the Italianate village."
Conwy Castle,Conwy,north-wales,webcam,Conwy Marina,https://www.conwymarina.co.uk/webcam,53.2829,-3.8322,"View towards the castle and marina."
Holyhead Breakwater,Holyhead,anglesey,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmk4k1z0,53.3300,-4.6300,"Weather at the ferry port."
Hawarden Airport,Hawarden,north-wales,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmy2t790,53.1780,-2.9780,"North East Wales weather."
Rhossili Surf,Rhossili,gower,surf-forecast,Surfline,https://www.surfline.com/surf-report/rhossili/5842041f4e65fad6a7708d0e,51.5667,-4.2889,"Surf check for Rhossili Bay."
