slug,name,region,lat,lon,species,type,best_time,best_season,description,tags,quality_score,tier,source_url
skomer-island,Skomer Island,pembrokeshire,51.736,-5.296,"Puffins, Manx Shearwaters, Seals",Bird|Mammal,"Daytime for Puffins, Night for Shearwaters",summer,"Famous for its puffins (April-July) and the world's largest population of Manx Shearwaters. Also grey seals.","boat-trip,walking,wildlife",10,A,https://www.wildlifetrusts.org/where_to_see_puffins
skokholm-island,Skokholm Island,pembrokeshire,51.698,-5.275,"Puffins, Storm Petrels",Bird,Daytime,summer,"A wilder, more rugged alternative to Skomer. Huge seabird colonies including puffins and storm petrels.","boat-trip,remote,wildlife",9,A,https://www.wildlifetrusts.org/nature-reserves/skokholm-island
ramsey-island,Ramsey Island,pembrokeshire,51.865,-5.337,"Grey Seals, Choughs",Mammal|Bird,Autumn for seal pups,autumn|all-year,"One of the best places in the UK to see grey seal pups in autumn. Also choughs and peregrines.","boat-trip,walking,wildlife",9,A,https://www.wildlifetrusts.org/where_to_see_seal_pups
grassholm-island,Grassholm Island,pembrokeshire,51.730,-5.476,Gannets,Bird,Daytime,summer,"Home to 39,000 pairs of gannets, turning the island white. Spectacular boat trip destination.","boat-trip,wildlife,photography",9,A,https://www.visitpembrokeshire.com/explore-pembrokeshire/islands/grassholm
cardigan-bay-dolphins-new-quay,New Quay (Cardigan Bay),mid-wales,52.215,-4.359,Bottlenose Dolphins,Mammal,High tide,summer,"The best place in Wales to see bottlenose dolphins from land or boat trips. Resident pod.","boat-trip,harbour,family-friendly",10,A,https://www.visitwales.com/things-do/nature-and-landscapes/wildlife-watching/dolphin-spotting-cardigan-bay
mwnt-dolphins,Mwnt,mid-wales,52.139,-4.545,"Dolphins, Seals",Mammal,Early morning,summer,"A secluded cove where dolphins are frequently seen playing in the bay. High cliffs offer great vantage points.","beach,walking,wildlife",9,A,https://www.nationaltrust.org.uk/mwnt
gigrin-farm,Gigrin Farm Red Kite Centre,mid-wales,52.296,-3.504,Red Kites,Bird,Afternoon feeding time,all-year,"Spectacular daily feeding of hundreds of red kites. Hides available for photography.","accessible,family-friendly,photography",10,A,https://www.gigrin.co.uk/
bwlch-nant-yr-arian,Bwlch Nant yr Arian,mid-wales,52.414,-3.882,Red Kites,Bird,"Feeding time (afternoon)",all-year,"Forestry England site with daily red kite feeding by the lake. Stunning backdrop.","walking,accessible,family-friendly",9,A,https://naturalresources.wales/bwlch-nant-yr-arian
dyfi-osprey-project,Dyfi Osprey Project,mid-wales,52.563,-3.931,Ospreys,Bird,Daytime,spring|summer,"Home of the Dyfi Ospreys. Visitor centre, boardwalks and observatory.","accessible,family-friendly,educational",9,A,https://www.dyfiospreyproject.com/
glaslyn-osprey-project,Glaslyn Osprey Project,snowdonia,52.948,-4.093,Ospreys,Bird,Daytime,spring|summer,"The first site where ospreys bred in Wales after their return. Live cameras and viewing points.","accessible,family-friendly,educational",8,B,https://www.glaslynwildlife.co.uk/
south-stack,South Stack Cliffs,anglesey,53.306,-4.696,"Puffins, Choughs, Guillemots",Bird,Daytime,spring|summer,"RSPB reserve with spectacular cliffs. Puffins (May-July), choughs, and razorbills.","walking,scenic,wildlife",10,A,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/south-stack-cliffs/
cemlyn-bay,Cemlyn Bay,anglesey,53.414,-4.507,Sandwich Terns,Bird,Daytime,summer,"Important breeding colony for Sandwich, Arctic and Common Terns in the lagoon.","walking,birdwatching,scenic",8,B,https://www.wildlifetrusts.org/nature-reserves/cemlyn
newborough-forest,Newborough Forest,anglesey,53.158,-4.373,Red Squirrels,Mammal,Early morning,all-year,"One of the best places to see red squirrels in Wales. Pine forest next to dunes.","walking,family-friendly,wildlife",9,A,https://naturalresources.wales/newborough
puffin-island,Puffin Island (Ynys Seiriol),anglesey,53.322,-4.027,"Cormorants, Seals, Puffins",Bird|Mammal,Daytime,summer,"Uninhabited island with cormorant colony, seals, and some puffins. Boat trips from Beaumaris.","boat-trip,wildlife,scenic",8,B,https://www.visitanglesey.co.uk/en/things-to-do/activities/puffin-island-boat-trips/
great-orme-goats,Great Orme,north-wales,53.333,-3.856,"Kashmir Goats, Seals",Mammal,Daytime,all-year,"Famous for its wild Kashmir goats. Also grey seals at Angel Bay (Little Orme nearby).","walking,scenic,accessible",9,A,https://www.visitconwy.org.uk/explore/great-orme
angel-bay,Angel Bay (Little Orme),north-wales,53.323,-3.795,Grey Seals,Mammal,Low tide,autumn|winter,"Accessible viewing of grey seals on the pebble beach below cliffs. Do not descend to beach.","walking,wildlife,free",8,B,https://www.northwaleswildlifetrust.org.uk/nature-reserves/rhiwledyn-little-orme
bosherston-lily-ponds,Bosherston Lily Ponds,pembrokeshire,51.613,-4.929,Otters,Mammal,Dawn/Dusk,all-year,"Famous lily ponds that are a good spot for seeing otters hunting.","walking,scenic,family-friendly",9,A,https://www.nationaltrust.org.uk/stackpole/features/bosherston-lakes
teifi-marshes,Teifi Marshes,mid-wales,52.067,-4.636,"Otters, Water Buffalo",Mammal,Dawn/Dusk,all-year,"Welsh Wildlife Centre. Otters in the river, water buffalo grazing the marsh.","accessible,family-friendly,educational",8,B,https://www.welshwildlife.org/visitor-centres/welsh-wildlife-centre
gilfach-farm,Gilfach Nature Reserve,mid-wales,52.327,-3.493,"Otters, Salmon",Mammal|Fish,"Autumn (salmon leap)",autumn,"Otters can be seen hunting salmon leaping up the waterfalls in autumn.","walking,wildlife,scenic",8,B,https://www.rwtwales.org/nature-reserves/gilfach
worms-head,Worm's Head,gower,51.562,-4.288,Grey Seals,Mammal,Low tide access,all-year,"Seals haul out on the rocks. Accessible only at low tide - check times carefully.","adventure,walking,scenic",9,A,https://www.nationaltrust.org.uk/rhossili-and-south-gower-coast/features/worms-head
point-of-ayr,Point of Ayr,north-wales,53.353,-3.315,"Waders, Roosting Birds",Bird,"High tide (winter)",winter,"RSPB reserve. High tide roost for thousands of waders like knot and dunlin.","birdwatching,walking,winter",7,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/point-of-ayr/
newport-wetlands,Newport Wetlands,south-wales,51.536,-2.964,"Bearded Tits, Avocets",Bird,Daytime,all-year,"RSPB reserve with reedbeds. Good for bearded tits, avocets, and bitterns.","accessible,family-friendly,birdwatching",8,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/newport-wetlands/
kenfig,Kenfig National Nature Reserve,south-wales,51.517,-3.733,"Fen Orchids, Birds",Plant|Bird,"Summer (orchids)",summer,"Huge dune system. Home to the rare Fen Orchid and diverse birdlife.","walking,botany,dunes",7,B,https://www.kenfignaturecorporation.com/
elan-valley,Elan Valley,mid-wales,52.268,-3.583,"Raptors, Red Kites",Bird,Daytime,all-year,"'Welsh Lake District'. Good for raptors, red kites, and peregrines.","scenic,walking,driving",9,A,https://www.elanvalley.org.uk/
lake-vyrnwy,Lake Vyrnwy,mid-wales,52.763,-3.456,"Peregrines, Pied Flycatchers",Bird,Daytime,spring|summer,"RSPB reserve. Peregrines on the dam, pied flycatchers in the woods.","scenic,walking,birdwatching",9,A,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/lake-vyrnwy/
ynys-hir,RSPB Ynys-hir,mid-wales,52.562,-3.951,"White-fronted Geese, Lapwings",Bird,"Winter (geese)",winter|spring,"Diverse mix of oak woodland and saltmarsh. BBC Springwatch location.","birdwatching,walking,scenic",9,A,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/ynys-hir/
conwy-rspb,RSPB Conwy,north-wales,53.284,-3.811,"Waders, Waterbirds",Bird,High tide,all-year,"Wetland reserve on the estuary. Great for waders and ducks. Accessible trails.","family-friendly,accessible,birdwatching",8,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/conwy/
bardsey-island,Bardsey Island (Ynys Enlli),llyn-peninsula,52.759,-4.787,"Manx Shearwaters, Grey Seals",Bird|Mammal,Summer,summer,"'Island of 20,000 Saints'. Huge Manx Shearwater colony and grey seals.","boat-trip,remote,historic",9,A,https://www.bardsey.org/
gwaith-powdwr,Gwaith Powdwr,snowdonia,52.924,-4.062,"Reptiles, Nightjars",Reptile|Bird,"Summer (warm days)",summer,"North Wales Wildlife Trust reserve. Good for adders, slow worms, and nightjars.","walking,wildlife,hidden-gem",7,B,https://www.northwaleswildlifetrust.org.uk/nature-reserves/gwaith-powdwr
cors-goch,Cors Goch,anglesey,53.313,-4.275,"Red Squirrels, Orchids",Mammal|Plant,Spring/Summer,spring|summer,"Wildlife Trust reserve. Fenland with orchids and red squirrels.","walking,botany,wildlife",7,B,https://www.northwaleswildlifetrust.org.uk/nature-reserves/cors-goch
goldcliff-lagoons,Goldcliff Lagoons,south-wales,51.543,-2.906,"Avocets, Lapwings",Bird,High tide,winter|spring,"Part of the Gwent Levels. Excellent for waders.","birdwatching,wetlands",7,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/newport-wetlands/
