slug,name,region,lat,lon,distance_km,ascent_m,difficulty,time_hours,route_type,terrain,highlights,dog_friendly,family_friendly,buggy_friendly,parking_lat,parking_lon,parking_cost,facilities,waymarked,map_os,best_season,hazards,description
st-davids-head,St Davids Head Circular,pembrokeshire,51.898,-5.295,6.0,200,moderate,2-3,circular,coastal-path,views|ancient-remains|seals,true,older-kids,false,51.892,-5.303,6,cafe|toilets,yes,OL1,spring-autumn,cliffs|wind,"Stunning headland walk from Whitesands Bay. Ancient Neolithic enclosure and dramatic views to Ramsey Island."
dinas-island,Dinas Head,pembrokeshire,52.019,-4.908,5.0,150,moderate,2,circular,coastal-path,views|pubs|history,true,yes,false,52.015,-4.905,free,pub|toilets,yes,OL35,year-round,steep-sections,"Not actually an island but a peninsula separated by a low valley. A classic short circular with a pub at the start/finish."
stackpole-head,Stackpole & Barafundle,pembrokeshire,51.613,-4.938,9.0,100,easy,3-4,circular,coastal-path,beaches|lily-ponds|cliffs,true,yes,partial,51.616,-4.891,6,cafe|toilets,yes,OL36,year-round,cliffs,"Includes the famous Barafundle Bay and Bosherston Lily Ponds. One of the most varied and beautiful coastal walks in Wales."
marloes-sands,Marloes Peninsula,pembrokeshire,51.732,-5.216,7.0,150,moderate,2-3,circular,coastal-path,views|seals|islands,true,older-kids,false,51.724,-5.201,6,none,yes,OL36,spring-autumn,cliffs|wind,"Wild and dramatic peninsula with views to Skomer Island. Great for seal spotting in autumn."
porthdinllaen,Porthdinllaen & Morfa Nefyn,llyn-peninsula,52.945,-4.567,5.0,50,easy,1-2,circular,beach-coastal,pub-on-beach|views|history,true,yes,partial,52.935,-4.530,5,pub|toilets,yes,OL253,year-round,tides,"Visit the famous Ty Coch Inn on the beach. A lovely short walk on the headland with lifeboat station and stunning bay views."
mynydd-mawr,Aberdaron & Mynydd Mawr,llyn-peninsula,52.805,-4.712,9.0,300,moderate,3-4,circular,coastal-path,views-to-bardsey|remoteness,true,older-kids,false,52.805,-4.712,5,cafe|toilets,yes,OL253,spring-autumn,cliffs|wind,"The Land's End of Wales. Walk to the tip of the peninsula overlooking Bardsey Island (Ynys Enlli)."
porth-oer,Porth Oer (Whistling Sands),llyn-peninsula,52.836,-4.731,5.0,150,moderate,2,circular,coastal-path,beach|views|squeaky-sand,true,yes,no,52.836,-4.731,5,cafe|toilets,yes,OL253,spring-summer,cliffs,"Famous for its singing sands. A rugged section of coast with jagged cliffs and hidden coves."
yr-eifl,Yr Eifl (The Rivals),llyn-peninsula,52.990,-4.425,7.0,450,challenging,3-4,circular,mountain-coastal,hill-fort|views|history,true,older-kids,no,52.990,-4.425,free,none,partial,OL253,clear-days,steep|navigation,"Dominating peaks of the peninsula. Includes Tre'r Ceiri, one of the best preserved Iron Age hillforts in Europe."
llanddwyn-island,Newborough & Llanddwyn Island,anglesey,53.146,-4.372,6.0,20,easy,2,out-and-back,beach-forest,lighthouse|beach|forest|romance,true,yes,no,53.146,-4.410,5,toilets,yes,OL263,year-round,tides,"Magical tidal island dedicated to St Dwynwen, patron saint of lovers. Stunning views to Snowdonia across the water."
holyhead-mountain,Holyhead Mountain,anglesey,53.306,-4.688,8.0,220,moderate,3-4,circular,coastal-hill,highest-point|views|cliffs,true,older-kids,no,53.315,-4.664,free,cafe,yes,OL262,year-round,cliffs|wind,"The highest point on Anglesey. Combines dramatic sea cliffs near South Stack with ancient hut circles and sweeping views."
porth-cwyfan,Porth Cwyfan (Church in the Sea),anglesey,53.190,-4.462,7.0,50,easy,2-3,circular,coastal-path,church|quiet|views,true,yes,no,53.190,-4.462,free,none,yes,OL262,year-round,tides,"Visit St Cwyfan's Church, accessible only at low tide. A peaceful stretch of coast away from the main tourist spots."
moelfre-coast,Moelfre to Lligwy,anglesey,53.354,-4.234,5.0,50,easy,1.5-2,circular,coastal-path,shipwreck-history|lifeboat|beaches,true,yes,partial,53.354,-4.234,3,cafe|toilets,yes,OL263,year-round,cliffs,"Historic stretch of coast, site of the Royal Charter shipwreck. Passes the lifeboat station and sandy Lligwy beach."
three-cliffs-bay,Three Cliffs Bay,gower,51.575,-4.108,6.0,150,moderate,2-3,circular,dunes-coastal,iconic-views|castle|river,true,yes,no,51.578,-4.108,4,cafe|toilets,yes,OL164,year-round,sand-dunes|tides,"One of the most photographed spots in Wales. A loop from Parkmill taking in the castle ruins and the iconic three cliffs."
oxwich-point,Oxwich Point,gower,51.554,-4.161,7.0,100,moderate,2-3,circular,woodland-coastal,woodland|beach|views,true,yes,no,51.556,-4.159,5,cafe|toilets,yes,OL164,spring-autumn,mud-in-woods,"A varied walk through ancient woodland and along the limestone headland. Starts and ends at the beautiful Oxwich Bay."
whiteford-point,Whiteford Point & Lighthouse,gower,51.617,-4.256,10.0,50,moderate,3,circular,dunes-beach,iron-lighthouse|birds|remoteness,true,older-kids,no,51.617,-4.260,free,pub|shop,yes,OL164,year-round,tides|sand,"Walk to the only wave-swept cast-iron lighthouse in Britain. Remote, quiet, and great for birdwatching."
mwnt,Mwnt & Foel y Mwnt,mid-wales,52.136,-4.639,2.0,100,easy,1,circular,coastal-hill,dolphins|views|chapel,true,yes,no,52.136,-4.639,3,cafe|toilets,yes,OL35,summer,steep-steps,"Short but sweet climb up the conical hill of Foel y Mwnt. Famous for dolphin spotting and the whitewashed Holy Cross Church."
llangrannog-lochtyn,Llangrannog & Ynys Lochtyn,mid-wales,52.160,-4.469,4.0,150,moderate,1.5-2,circular,coastal-path,sea-stacks|coves|views,true,older-kids,no,52.158,-4.467,3,pubs|toilets,yes,OL35,year-round,cliffs,"Stunning section of the Ceredigion Coast Path. The view of the seal-frequented peninsula of Ynys Lochtyn is a classic."
new-quay-cwmtydu,New Quay to Cwmtydu,mid-wales,52.215,-4.359,8.0,300,moderate,3-4,circular,coastal-path,dolphins|history|hidden-coves,true,older-kids,no,52.214,-4.360,5,full-town,yes,OL35,spring-autumn,steep-sections,"A tougher walk with plenty of ups and downs. Cwmtydu was once a smugglers' cove. Look out for bottlenose dolphins."
aberystwyth-borth,Aberystwyth to Borth,mid-wales,52.415,-4.083,10.0,350,moderate,3-4,linear,coastal-path,cliffs|views-to-snowdonia|return-by-train,true,older-kids,no,52.415,-4.083,5,full-town,yes,OL213,year-round,cliffs|wind,"Classic linear walk over Constitution Hill and along high cliffs. Return by train for a perfect day out."
